ad_type_name,area,price,address,property_legal_document,rooms,toilets
Nhà ở,75,18500000000,Hà Nội,đã có sổ,5.0,4.0
Nhà ở,81,11000000000,Hà Nội,đã có sổ,3.0,5.0
Nhà ở,76,90000000000,Hà Nội,đã có sổ,5.0,5.0
Nhà ở,121,8000000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,80,5000000,Hà Nội,sổ hồng riêng,8.0,6.0
Căn hộ/Chung cư,86,7950000000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,79,4000000,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,81,15000000,Hà Nội,đã có sổ,3.0,5.0
Căn hộ/Chung cư,76,1100000000,Hà Nội,chưa rõ,1.0,1.0
Nhà ở,81,7500000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,77,20000000,Hà Nội,đã có sổ,5.0,3.0
Nhà ở,77,2000000,Hà Nội,đã có sổ,5.0,2.0
Nhà ở,76,24500000000,Hà Nội,đã có sổ,6.0,4.0
Căn hộ/Chung cư,76,4550000000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,123,3670000000,Hà Nội,sổ hồng riêng,2.0,1.0
Căn hộ/Chung cư,78,8900000,Hà Nội,không có sổ,2.0,1.0
Nhà ở,121,18000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,86,14500000000,Hà Nội,đã có sổ,9.0,7.0
Nhà ở,79,7000000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,77,8600000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,77,7900000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,80,7900000000,Phố Giáp Nhị,đã có sổ,3.0,2.0
Căn hộ/Chung cư,77,2250000000,Hà Nội,chưa rõ,2.0,1.0
Nhà ở,80,7000000000,Hà Nội,đã có sổ,6.0,4.0
Nhà ở,77,19700000000,Hà Nội,đã có sổ,7.0,7.0
Căn hộ/Chung cư,121,950000000,Hà Nội,chưa rõ,2.0,1.0
Nhà ở,75,12900000000,Hà Nội,đã có sổ,4.0,5.0
Căn hộ/Chung cư,121,2950000111,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,78,3000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,76,9499999999,Hà Nội,đã có sổ,5.0,6.0
Căn hộ/Chung cư,81,4450000000,Hà Nội,sổ hồng riêng,2.0,2.0
